"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"71"	"middle-VMV-T8-Rep1"	29623	"3_8_1_M"	88	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"72"	"middle-VMV-T8-Rep2"	14353	"3_8_2_M"	223	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"73"	"middle-VMV-T8-Rep3"	5777	"3_8_3_M"	98	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"74"	"middle-VMV-T8-Rep4"	55392	"3_8_4_M"	179	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"75"	"middle-VMV-T8-Rep5"	1144	"3_8_5_M"	102	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"76"	"middle-VMV-T8-Rep6"	2303	"3_8_6_M"	186	"gut"	"challenge"	"middle"	"VMV"	"middle.VMV"	"middle.VMV"	"gut.VMV"	"sample"	"gut_middle"	FALSE
"77"	"pyloric-MMV-T1-Rep1"	3890	"3_1_7_P"	164	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"78"	"pyloric-MMV-T1-Rep5"	6334	"3_1_5_P"	234	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"79"	"pyloric-MMV-T1-Rep6"	21208	"3_1_6_P"	238	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"80"	"pyloric-MMV-T5-Rep2"	13029	"3_5_2_P"	64	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
