"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"81"	"pyloric-MMV-T1-Rep3"	63	"3_1_3_P"	75	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"82"	"pyloric-MMV-T1-Rep4"	16	"3_1_4_P"	4	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"83"	"pyloric-MMV-T1-Rep5"	6930	"3_1_5_P"	234	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"84"	"pyloric-MMV-T1-Rep6"	21989	"3_1_6_P"	238	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"85"	"pyloric-MMV-T5-Rep1"	31	"3_5_1_P"	58	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"86"	"pyloric-MMV-T5-Rep2"	13062	"3_5_2_P"	64	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"87"	"pyloric-MMV-T5-Rep3"	1204	"3_5_3_P"	70	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"88"	"pyloric-MMV-T5-Rep4"	4168	"3_5_4_P"	126	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"89"	"pyloric-MMV-T5-Rep5"	2532	"3_5_5_P"	82	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"90"	"pyloric-MMV-T5-Rep6"	1461	"3_5_6_P"	87	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"91"	"pyloric-MMV-T9-Rep1"	1476	"3_9_1_P"	177	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"92"	"pyloric-MMV-T9-Rep2"	2866	"3_9_2_P"	119	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"93"	"pyloric-MMV-T9-Rep3"	246	"3_9_3_P"	212	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"94"	"pyloric-MMV-T9-Rep4"	255	"3_9_4_P"	36	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"95"	"pyloric-MMV-T9-Rep5"	1712	"3_9_5_P"	206	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"96"	"pyloric-MMV-T9-Rep6"	900	"3_9_6_P"	182	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"97"	"pyloric-VMV-T12-Rep1"	1117	"3_12_1_P"	121	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
